funded_amnt,int_rate,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,out_prncp,total_pymnt,term,grade,emp_title_2,emp_length_2,home_ownership,verification_status,issue_d_2,purpose_2,addr_state,time,pub_rec_2,Default
7800.0,16.91,75000.0,17.02,0.0,1.0,6.0,12265.0,84.6,20.0,6756.84,1677.49, 36 months,C,5,2,RENT,Source Verified,0,1,NE,6270.0,0,0
14400.0,11.99,50000.0,25.44,0.0,0.0,10.0,12506.0,85.7,15.0,0.0,16676.39676, 36 months,C,5,2,OWN,Source Verified,3,0,TX,5631.0,0,0
13000.0,6.11,120000.0,13.27,0.0,0.0,17.0,16949.0,27.5,30.0,11670.09,1575.73, 36 months,A,5,2,MORTGAGE,Not Verified,0,0,TX,6058.0,0,0
3000.0,13.49,45000.0,27.36,0.0,1.0,8.0,8632.0,49.6,19.0,491.91,3153.55, 36 months,C,5,1,MORTGAGE,Not Verified,3,2,AL,8157.0,0,0
2500.0,7.21,110000.0,24.71,0.0,0.0,13.0,22042.0,27.8,35.0,0.0,2571.816628, 36 months,A,5,0,RENT,Not Verified,0,2,NC,13028.0,0,0
7200.0,20.0,43000.0,34.52,0.0,0.0,6.0,9656.0,97.5,19.0,5077.38,3462.54, 36 months,D,0,1,RENT,Not Verified,3,0,IL,8888.0,0,0
20000.0,18.94,65000.0,18.11,0.0,1.0,17.0,31922.0,77.5,24.0,18292.69,2909.04, 36 months,D,5,2,MORTGAGE,Source Verified,0,1,TX,9527.0,0,0
20000.0,11.48,97000.0,13.81,0.0,0.0,10.0,23251.0,61.0,11.0,9039.04,16254.66, 60 months,B,5,2,MORTGAGE,Source Verified,2,1,IL,7061.0,0,0
7200.0,12.74,50150.0,17.54,0.0,0.0,9.0,5711.0,39.9,28.0,0.0,8060.317520999999, 36 months,C,5,2,MORTGAGE,Source Verified,3,0,LA,7031.0,0,0
5000.0,6.46,40000.0,3.9,0.0,1.0,4.0,6121.0,30.8,7.0,4619.23,457.69, 36 months,A,0,1,RENT,Source Verified,0,0,CO,2709.0,0,0
24875.0,7.89,53000.0,22.42,0.0,0.0,13.0,35892.0,52.6,28.0,0.0,28024.666510000003, 36 months,A,5,1,MORTGAGE,Not Verified,2,1,VA,8157.0,0,0
10000.0,12.69,30000.0,22.59,0.0,0.0,9.0,9979.0,78.6,11.0,0.0,4132.3, 36 months,C,5,1,RENT,Source Verified,3,1,FL,2953.0,0,1
26600.0,7.97,75000.0,28.99,0.0,0.0,14.0,25758.0,67.1,23.0,17716.82,10819.56, 36 months,A,5,1,RENT,Not Verified,3,1,NJ,5388.0,0,0
11000.0,12.79,135000.0,20.61,0.0,0.0,18.0,11162.0,91.2,30.0,6002.68,7963.7, 60 months,C,5,1,OWN,Not Verified,3,2,NH,8127.0,0,0
15650.0,16.99,75000.0,31.74,0.0,1.0,7.0,32552.0,89.4,30.0,0.0,10170.54, 60 months,D,5,1,MORTGAGE,Source Verified,1,0,AZ,8553.0,0,1
12800.0,13.44,70000.0,37.63,0.0,0.0,14.0,18919.0,33.2,39.0,5934.4,10825.83, 60 months,C,5,2,MORTGAGE,Not Verified,2,0,IL,5570.0,0,0
33000.0,20.75,75000.0,29.94,0.0,0.0,20.0,28329.0,78.5,29.0,17328.34,6188.25, 60 months,E,5,1,MORTGAGE,Source Verified,2,1,FL,4567.0,0,0
6000.0,6.83,52000.0,36.12,0.0,1.0,11.0,6737.0,34.4,32.0,4770.52,1476.12, 36 months,A,0,1,MORTGAGE,Not Verified,1,1,CA,8675.0,1,0
16000.0,5.32,120000.0,12.86,0.0,0.0,11.0,24859.0,38.7,37.0,0.0,17336.64374, 36 months,A,5,1,MORTGAGE,Not Verified,2,0,MO,8219.0,0,0
20000.0,6.11,100000.0,16.84,0.0,0.0,17.0,19224.0,49.0,44.0,0.0,20426.94836, 36 months,A,5,1,MORTGAGE,Source Verified,1,0,MI,6209.0,0,0
15850.0,11.99,42700.0,34.32,0.0,0.0,9.0,15606.0,54.4,15.0,10959.16,13607.66, 60 months,F,5,2,RENT,Verified,3,0,OR,6543.0,1,0
10000.0,8.99,94000.0,23.09,0.0,0.0,13.0,12811.0,58.8,31.0,0.0,11034.46518, 36 months,B,5,2,RENT,Not Verified,3,0,VA,4505.0,0,0
4000.0,13.49,45000.0,18.16,0.0,0.0,5.0,3580.0,87.3,5.0,1155.32,3658.71, 36 months,C,5,1,RENT,Source Verified,3,2,CA,2405.0,0,0
12000.0,6.99,90000.0,27.96,0.0,0.0,11.0,11180.0,21.9,22.0,0.0,13264.45443, 36 months,A,5,1,RENT,Source Verified,2,0,WI,8004.0,0,0
3000.0,10.07,75000.0,7.41,0.0,0.0,7.0,2687.0,28.0,12.0,2408.98,773.6, 36 months,B,5,1,OWN,Source Verified,1,2,IN,5631.0,0,0
6000.0,11.47,160000.0,8.33,0.0,0.0,4.0,9399.0,72.3,19.0,195.5,6914.65, 36 months,B,5,1,RENT,Source Verified,2,2,NY,14275.0,0,0
15000.0,14.33,70000.0,30.55,0.0,0.0,25.0,19950.0,54.8,41.0,0.0,4210.93, 60 months,C,5,0,OWN,Verified,1,2,TX,6635.0,0,1
3000.0,11.49,45000.0,6.03,0.0,0.0,5.0,2560.0,55.7,15.0,0.0,3479.6282149999997, 36 months,B,5,2,RENT,Verified,3,2,IN,5297.0,0,0
25000.0,11.55,65000.0,14.03,0.0,1.0,19.0,10278.0,25.8,40.0,22767.59,3837.11, 60 months,B,5,2,RENT,Not Verified,1,2,FL,11841.0,1,0
35000.0,9.16,66000.0,15.11,0.0,0.0,21.0,11162.0,73.6,48.0,0.0,6188.25, 36 months,B,5,1,MORTGAGE,Source Verified,2,2,PA,9253.0,0,0
6400.0,14.47,40000.0,17.55,0.0,1.0,22.0,10847.0,34.3,27.0,5515.49,1316.12, 36 months,C,5,0,OWN,Source Verified,0,2,IN,4292.0,0,0
12000.0,14.47,78000.0,16.35,0.0,0.0,25.0,7672.0,23.2,39.0,11440.53,1109.35, 60 months,C,5,2,OWN,Source Verified,0,0,PA,4962.0,0,0
6000.0,9.43,65000.0,14.36,0.0,0.0,9.0,24289.0,64.6,44.0,4654.52,1724.95, 36 months,B,5,1,MORTGAGE,Verified,1,0,MD,10623.0,0,0
1200.0,7.97,35000.0,13.99,0.0,0.0,16.0,3083.0,22.3,16.0,799.22,488.14, 36 months,A,5,2,RENT,Not Verified,3,2,CA,3044.0,0,0
7000.0,8.08,27000.0,26.7,0.0,0.0,9.0,13963.0,49.5,23.0,5587.15,1750.68, 36 months,A,0,1,OWN,Verified,1,2,TX,17654.0,1,0
25000.0,7.99,107500.0,4.44,0.0,0.0,10.0,9875.0,16.3,31.0,7553.39,20368.36, 36 months,A,5,2,MORTGAGE,Verified,3,0,MD,8888.0,0,0
25000.0,5.32,80000.0,8.6,0.0,1.0,11.0,2986.0,1.0,22.0,749.53,26343.06, 36 months,A,5,1,MORTGAGE,Not Verified,2,0,VA,3805.0,0,0
18350.0,11.99,90781.0,28.98,0.0,0.0,12.0,17665.0,69.3,20.0,17353.35,4155.56, 60 months,G,5,2,RENT,Verified,1,0,CA,5266.0,1,0
13475.0,16.14,106000.0,25.91,0.0,0.0,5.0,26488.0,79.1,18.0,2565.93,5818.39, 60 months,C,5,0,RENT,Verified,0,0,MD,6880.0,0,0
13475.0,10.9,78000.0,21.94,0.0,1.0,20.0,12647.0,69.9,22.0,2565.93,13052.38, 36 months,B,4,1,MORTGAGE,Source Verified,2,1,NV,4779.0,0,0
12000.0,12.73,28880.0,14.88,0.0,0.0,12.0,12181.0,47.8,24.0,10302.72,2408.13, 36 months,B,5,2,MORTGAGE,Not Verified,0,1,KY,8157.0,0,0
18000.0,18.25,55000.0,28.69,0.0,0.0,14.0,18681.0,75.6,29.0,0.0,22286.745130000003, 36 months,D,5,2,RENT,Verified,1,0,OK,4870.0,0,0
14400.0,8.46,60000.0,17.72,0.0,0.0,17.0,17023.0,32.1,29.0,0.0,14911.80708, 36 months,A,5,0,MORTGAGE,Not Verified,0,0,FL,5205.0,0,0
30000.0,23.13,75000.0,16.26,0.0,0.0,8.0,5249.0,51.0,18.0,0.0,6188.25, 60 months,F,5,1,MORTGAGE,Source Verified,2,0,TX,7580.0,0,0
15000.0,9.75,65000.0,15.95,0.0,2.0,9.0,13767.0,58.3,13.0,1890.41,15423.88, 36 months,B,5,0,MORTGAGE,Source Verified,3,0,NY,4231.0,0,0
10500.0,16.99,42000.0,22.0,0.0,0.0,24.0,7126.0,88.0,32.0,0.0,12863.78823, 60 months,D,5,2,RENT,Not Verified,3,1,FL,4870.0,0,0
7850.0,20.39,90000.0,2.33,0.0,1.0,7.0,3348.0,51.5,9.0,6308.96,2621.92, 36 months,D,5,1,MORTGAGE,Source Verified,1,1,CA,5358.0,0,0
22000.0,17.86,100000.0,17.33,0.0,0.0,22.0,35974.0,95.0,32.0,0.0,25524.920009999998, 36 months,D,5,1,MORTGAGE,Verified,3,0,NJ,7092.0,0,0
14400.0,13.49,85000.0,8.51,0.0,0.0,11.0,5796.0,18.9,18.0,0.0,16269.156009999999, 36 months,C,5,2,MORTGAGE,Source Verified,3,2,TX,5966.0,0,0
15500.0,12.74,70000.0,23.86,0.0,0.0,21.0,27033.0,44.0,27.0,0.0,17753.99955, 36 months,C,5,1,MORTGAGE,Source Verified,3,0,NY,7611.0,0,0
25000.0,6.11,66000.0,10.62,0.0,0.0,9.0,6662.0,19.3,20.0,0.0,25139.47849, 36 months,A,5,1,MORTGAGE,Not Verified,1,2,NV,7274.0,0,0
17625.0,16.55,110000.0,11.34,0.0,0.0,8.0,3287.0,20.0,21.0,0.0,20416.31, 36 months,D,5,2,RENT,Not Verified,3,0,CA,6788.0,1,0
30000.0,9.93,38500.0,39.36,0.0,1.0,13.0,11162.0,64.0,30.0,24696.03,8239.84, 60 months,B,5,1,MORTGAGE,Not Verified,3,1,TX,6178.0,0,0
13000.0,19.03,36000.0,39.96,0.0,0.0,14.0,17281.0,50.1,18.0,11120.98,4352.49, 60 months,D,5,2,OWN,Verified,3,0,FL,4536.0,0,0
1400.0,23.99,65000.0,34.61,0.0,0.0,6.0,11162.0,92.8,20.0,355.39,1590.81, 36 months,E,5,1,OWN,Source Verified,3,2,PA,7519.0,0,0
12000.0,11.99,60000.0,22.38,0.0,1.0,13.0,9282.0,30.8,41.0,6083.78,9065.93, 60 months,C,3,1,MORTGAGE,Not Verified,1,2,AL,6209.0,0,0
15000.0,11.53,74880.0,28.69,0.0,1.0,10.0,10188.0,72.3,24.0,0.0,17306.207919999997, 36 months,B,5,1,MORTGAGE,Source Verified,3,1,TX,7670.0,0,0
10000.0,17.47,25168.0,16.12,0.0,0.0,8.0,4667.0,84.9,22.0,7475.27,3928.27, 36 months,D,5,2,RENT,Verified,3,0,VA,3774.0,0,0
3600.0,13.67,52100.0,23.77,0.0,0.0,11.0,20053.0,79.3,39.0,0.0,4393.631012, 36 months,C,5,1,RENT,Verified,2,2,CT,5144.0,0,0
5100.0,12.99,70000.0,27.93,0.0,2.0,14.0,15403.0,31.4,29.0,0.0,1563.9, 36 months,C,5,2,RENT,Not Verified,2,0,MN,9649.0,1,1
6000.0,10.47,22584.0,8.34,0.0,1.0,6.0,5147.0,44.8,6.0,5422.17,776.23, 36 months,B,5,1,RENT,Source Verified,0,1,CA,2313.0,0,0
24375.0,16.99,53000.0,31.97,0.0,0.0,11.0,24404.0,60.3,23.0,8048.94,22568.91, 36 months,D,5,1,RENT,Source Verified,3,0,CA,13118.0,0,0
10000.0,8.39,98000.0,1.73,0.0,0.0,9.0,2774.0,11.5,24.0,0.0,11341.29354, 36 months,B,5,1,RENT,Source Verified,2,0,CA,7000.0,2,0
24000.0,18.94,52000.0,36.16,0.0,0.0,15.0,13562.0,44.9,29.0,23004.79,2461.91, 60 months,D,5,1,MORTGAGE,Verified,0,2,AR,6209.0,0,0
7500.0,8.24,105000.0,15.65,0.0,0.0,7.0,8741.0,84.0,16.0,1869.36,6523.78, 36 months,B,5,0,MORTGAGE,Source Verified,3,1,OK,6331.0,1,0
20000.0,8.18,75000.0,24.75,0.0,0.0,17.0,99.0,0.4,34.0,0.0,20257.07, 60 months,B,5,1,MORTGAGE,Source Verified,3,2,OH,7489.0,0,0
13750.0,11.99,13812.0,18.11,0.0,1.0,8.0,16161.0,61.0,12.0,12221.03,4949.47, 60 months,E,0,1,OWN,Verified,3,2,WA,9223.0,1,0
20000.0,13.56,47000.0,16.7,0.0,1.0,11.0,11626.0,24.9,12.0,17202.26,4060.67, 36 months,C,5,2,RENT,Source Verified,0,1,NJ,2252.0,0,0
1200.0,9.16,81187.18,27.52,0.0,0.0,25.0,11162.0,33.9,45.0,0.0,1320.368939, 36 months,B,5,2,MORTGAGE,Source Verified,3,0,NJ,13210.0,0,0
6000.0,14.49,80000.0,5.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,6668.422031, 36 months,C,5,1,MORTGAGE,Source Verified,2,2,MI,4870.0,0,0
16000.0,19.99,61000.0,26.03,0.0,0.0,12.0,21800.0,54.1,21.0,9684.46,13102.88, 60 months,D,5,1,MORTGAGE,Source Verified,3,0,NY,4840.0,0,0
9000.0,8.18,75000.0,13.46,0.0,0.0,6.0,6105.0,89.8,24.0,0.0,10181.9359, 36 months,B,5,2,MORTGAGE,Source Verified,3,0,IN,8858.0,0,0
4000.0,18.45,70000.0,39.98,0.0,0.0,11.0,19758.0,90.2,13.0,3198.23,1301.48, 36 months,D,5,1,OWN,Verified,1,0,GA,4628.0,0,0
6000.0,12.13,65000.0,14.07,0.0,0.0,6.0,14059.0,45.5,19.0,0.0,6194.06675, 36 months,B,5,1,MORTGAGE,Not Verified,1,0,TN,8827.0,0,0
18000.0,10.56,75000.0,26.98,0.0,0.0,16.0,16631.0,44.8,43.0,14475.59,4704.58, 36 months,B,0,1,MORTGAGE,Verified,1,1,FL,12510.0,1,0
6500.0,16.29,33017.0,33.73,0.0,0.0,16.0,11044.0,46.0,16.0,0.0,8139.530523, 36 months,D,5,2,RENT,Verified,2,1,FL,2862.0,0,0
